X,Y,Z,cluster
2.41101,-694.693,-353.923,0
475.997,-372.234,653.371,1
918.149,746.696,450.057,1
-399.884,887.997,-745.537,0
-868.526,569.933,49.1654,2
219.276,912.229,-855.464,0
751.274,307.718,-355.754,1
-790.399,10.1017,-545.823,0
-419.416,839.961,102.329,2
325.602,-770.928,-14.9235,1
-241.737,-6.3783,586.718,2
18.5248,-235.267,376.324,2
64.3026,212.562,-209.632,0
-988.22,415.754,-798.761,0
246.132,726.493,-16.9988,1
494.675,-6.19519,-239.784,1
570.727,105.625,-285.806,1
911.435,261.696,-646.84,1
-251.503,-736.747,486.557,2
903.44,223.975,-944.334,1
-340.312,-888.18,278.42,2
-736.747,694.144,728.63,2
193.762,443.281,707.938,2
-970.641,-747.063,415.815,2
234.291,-564.867,-868.099,0
-662.16,248.207,-318.033,0
-361.187,-264.87,322.001,2
604.785,613.758,53.0718,1
222.205,596.362,801.203,2
-710.379,260.354,-195.166,0
-492.599,-726.92,710.379,2
-867.672,-144.383,146.703,2
-395.428,96.1028,-548.875,0
-377.3,-778.741,616.077,2
-730.583,-431.501,576.22,2
790.46,579.272,487.594,1
230.445,-277.749,713.309,2
-543.016,727.165,-541.124,0
-500.9,84.811,969.665,2
-892.392,-837.153,49.3485,2
-146.397,-810.663,-482.406,0
783.075,-534.471,-706.9,1
-749.809,863.277,-839.778,0
-905.82,-882.565,-327.189,0
829.402,-202.795,-134.434,1
892.331,674.368,68.4531,1
684.195,387.066,-204.627,1
-481.674,-991.333,51.1796,2
909.604,-202.612,-517.807,1
171.117,-489.73,368.023,2
890.561,-129.002,780.45,1
-985.656,881.954,203.101,2
572.314,153.356,-715.14,1
-555.345,-233.985,-991.455,0
-164.159,-835.505,319.865,2
710.196,-870.296,622.12,1
324.137,382.977,605.396,2
60.2742,371.258,-714.469,0
379.009,455.794,555.468,1
-937.864,737.358,289.041,2
413.129,-829.096,103.977,1
895.81,-882.443,-450.056,1
-709.647,963.561,239.967,2
-415.509,844.966,-264.931,0
389.081,-562.731,-688.162,1
-518.906,42.8785,804.56,2
-787.164,805.292,-116.55,0
-839.778,564.196,-656.423,0
948.79,551.744,740.776,1
-578.722,-86.7641,-992.492,0
501.267,-771.905,-190.588,1
-377.728,985.229,-922.849,0
-495.834,-621.448,-504.624,0
-692.984,240.639,770.745,2
878.17,-608.692,559.313,1
291.116,313.517,818.293,2
-89.0835,842.586,328.349,2
-698.477,272.683,139.073,2
-155.919,886.044,81.1488,2
157.14,72.9088,-489.425,0
-206.091,-299.478,-926.756,0
590.503,-606.983,-859.432,1
-221.168,181.494,-858.15,0
-604.663,-688.223,288.675,2
-91.3419,208.594,394.696,2
-117.405,368.938,-206.946,0
671.438,184.423,-600.818,1
898.923,752.007,-216.59,1
974.914,-629.383,791.437,1
148.9,-115.879,254.677,1
417.036,-900.754,-428.877,1
-479.598,-184.729,790.643,2
420.393,456.893,792.108,2
-212.867,-205.176,807.734,2
-382.794,-223.792,141.148,2
-292.886,467.391,490.707,2
472.762,478.866,-721.366,1
-599.658,-454.817,360.881,2
822.26,-264.321,35.3099,1
-781.243,814.875,-593.86,0
35.9203,309.671,-122.959,0
375.286,-819.147,-840.876,0
-848.445,-944.395,-289.834,0
-385.54,394.574,-714.652,0
-210.303,-864.315,351.482,2
449.873,-602.588,388.043,1
231.422,309.793,87.9849,1
-803.4,90.7316,-900.754,0
949.156,-71.9321,939.94,1
455.733,61.9221,359.844,1
385.601,-255.776,-222.755,1
-900.082,619.556,-660.878,0
-878.353,-378.887,568.957,2
-575.06,-356.182,-30.6711,0
-981.689,-120.273,15.7171,0
211.89,517.075,-197.851,1
-300.394,685.293,884.64,2
246.62,994.568,-893.063,0
125.706,727.104,-226.478,1
-387.188,-431.562,-946.593,0
225.135,-217.627,-962.767,0
-937.925,-88.5952,715.873,2
873.531,-196.203,454.573,1
223.182,616.749,750.847,2
165.197,190.039,-841.975,0
586.352,-75.5943,181.25,1
178.869,138.401,632.13,2
345.5,-312.845,-979.553,0
-465.377,-316.874,-535.813,0
542.039,-256.508,739.738,1
-766.289,451.155,257.851,2
787.896,-633.961,71.1387,1
804.01,560.167,930.418,1
-605.274,803.095,594.836,2
906.797,697.623,780.694,1
257.424,-629.078,233.863,1
-470.016,-498.703,464.4,2
576.22,-658.132,427.778,1
-38.1176,-837.031,613.086,2
710.685,-750.725,-385.052,1
146.641,-54.0482,524.094,2
-616.26,455.55,990.051,2
-969.298,295.267,383.282,2
-651.723,-855.77,-450.056,0
353.252,677.847,113.315,1
-257.546,559.008,-534.959,0
276.467,-536.668,-590.808,1
942.076,-436.506,-954.222,1
538.438,-696.341,-906.064,1
-981.506,-302.835,287.759,2
-313.517,-170.873,-166.967,0
-818.659,90.3654,398.541,2
-324.015,315.043,752.495,2
70.9556,140.049,-892.026,0
-68.4529,-480.026,-146.397,0
726.676,-26.8257,-825.129,1
131.626,418.806,556.932,2
728.446,701.102,-413.984,1
728.752,289.834,493.698,1
657.277,531.236,743.828,1
816.645,825.068,43.9161,1
-119.663,-784.722,-291.971,0
646.107,-144.566,-660.329,1
-998.291,314.921,547.105,2
-872.555,-820.368,-228.675,0
367.779,615.223,-691.824,1
-714.286,-903.073,-307.718,0
-962.889,956.847,295.267,2
-892.697,828.303,274.941,2
-136.57,-957.884,-514.817,0
-216.102,308.023,563.769,2
-954.344,652.089,-723.136,0
268.532,100.803,966.979,2
-73.1528,-570.421,-398.602,0
564.318,-314.92,-38.789,1
216.041,-794.977,968.871,2
511.643,-698.233,-87.1913,1
423.261,997.498,551.012,1
283.303,242.409,892.209,2
376.324,-420.392,134.312,1
-419.233,96.4691,424.726,2
-507.126,93.3562,-14.7404,0
904.111,339.641,530.32,1
246.742,-108.493,597.522,2
491.073,977.844,-590.747,1
258.95,819.636,182.592,1
836.787,11.0782,-21.2103,1
-100.558,778.68,880.795,2
-634.144,-496.078,-593.982,0
460.982,882.26,250.16,1
-917.295,282.693,-930.967,0
112.705,88.9615,-107.334,1
-877.255,992.065,-744.499,0
201.819,-899.289,-654.408,0
320.475,-335.124,-368.084,1
307.169,-178.93,-144.993,1
-556.749,357.036,-667.104,0
-4.91345,15.2899,605.457,2
-129.856,-990.966,-321.024,0
-248.207,-742.851,654.653,2
466.598,782.281,286.66,1
301.187,28.9622,467.94,1
474.349,914.182,-68.3309,1
-273.476,-775.628,809.32,2
642.445,-90.4263,-782.647,1
738.884,522.752,-921.751,1
-166.662,872.25,-864.498,0
-670.278,-577.441,-766.167,0
182.226,-763.298,236.549,1
160.192,380.596,463.118,2
831.294,339.457,-402.997,1
617.725,-243.629,994.995,1
545.03,-591.174,-658.864,1
-223.487,-637.562,161.962,2
-608.753,920.286,-619.495,0
-236.549,-392.01,-758.354,0
-603.687,-907.529,542.344,2
522.08,762.078,-996.46,1
-102.756,-147.252,603.076,2
-77.3033,-10.2847,498.764,2
-522.996,118.809,-814.508,0
844.051,787.652,714.042,1
-880.734,-18.2195,264.077,2
494.43,512.131,-488.51,1
819.819,583.972,-600.757,1
105.686,-897.519,44.3435,1
580.737,408.307,-951.903,1
463.485,106.723,828.425,1
751.091,593.86,-389.141,1
-210.12,-36.2254,-894.833,0
303.934,-998.291,537.156,1
512.375,-560.533,-690.481,1
-884.945,341.228,-934.629,0
-308.267,395.734,596.301,2
-127.476,963.439,271.096,2
-409.406,-46.0524,748.711,2
-841.426,-798.029,-713.553,0
-713.98,835.994,-382.549,0
-252.358,627.674,-906.735,0
628.407,-520.005,795.77,1
-486.984,-461.287,-583.972,0
-541.246,692.313,749.687,2
775.384,689.566,218.543,1
-918.21,-652.943,-632.496,0
-288.186,-101.474,-629.871,0
788.934,246.071,92.6848,1
823.359,45.198,461.287,1
998.657,938.658,734.855,1
680.41,-706.656,-251.198,1
-431.257,-658.071,947.508,2
483.627,433.21,-938.231,1
290.078,625.416,471.847,1
636.342,-750.725,437.788,1
-249.855,299.661,830.866,2
779.351,-935.667,546.983,1
-102.267,-984.863,-542.772,0
-163.06,-686.819,838.069,2
3.38763,-514.267,508.957,2
813.044,-573.046,-935.789,1
542.344,-543.504,113.193,1
612.781,704.032,-336.772,1
77.8528,983.581,738.701,2
293.741,-544.542,625.599,2
-257.912,-266.213,-930.052,0
122.593,-204.26,-760.43,0
-350.139,798.029,-597.034,0
880.368,-749.87,698.66,1
787.896,-108.859,-555.773,1
269.509,120.151,248.085,1
-152.684,-967.04,728.263,2
-720.756,-465.194,-416.059,0
363.323,122.898,917.661,2
214.454,576.464,-154.576,1
636.769,478.927,-728.446,1
33.0516,-959.838,-986.023,0
496.628,-332.255,804.254,1
-75.4722,535.814,-898.984,0
261.94,-951.659,364.849,1
938.17,0.885071,412.763,1
-468.123,644.704,293.252,2
194.433,-472.762,688.467,2
-79.8669,496.323,-296.792,0
-971.007,-46.9069,252.968,2
-192.236,-232.765,-944.761,0
-422.346,193.701,767.754,2
-135.655,863.094,-234.046,0
66.2557,-979.858,948.485,2
730.4,-125.156,399.274,1
-334.086,204.688,-2.89923,0
119.236,-921.995,-243.568,1
-533.921,874.691,719.047,2
928.221,217.628,167.943,1
-847.102,-185.949,-389.386,0
-2.8382,-839.9,749.565,2
-391.461,563.036,865.78,2
176.855,-567.553,-441.389,0
121.433,748.833,-499.863,0
-397.198,454.268,733.207,2
-537.828,-618.58,-106.418,0
780.694,148.656,-942.442,1
990.478,-881.527,238.38,1
-486.129,-660.329,-767.754,0
-537.034,-10.2236,919.614,2
-901.425,-840.754,-324.686,0
-440.535,31.0984,-18.8909,0
-175.451,849.422,202.124,2
-415.693,-48.4938,-196.692,0
902.646,96.7133,669.851,1
588.855,603.321,185.705,1
740.166,-363.872,878.353,1
-464.156,886.654,437.544,2
-744.743,549.791,-54.2313,0
-648.183,-946.654,-916.745,0
-90.4263,724.601,-727.775,0
-971.068,-574.45,637.074,2
594.409,559.313,316.996,1
-402.509,562.853,843.013,2
684.256,-514.756,-2.47192,1
-953.978,-848.567,-938.231,0
-287.576,430.647,-180.395,0
-639.149,-404.157,-635.792,0
489.792,-730.522,-883.541,1
51.2406,-282.266,613.453,2
-682.363,799.738,-736.381,0
-941.527,-637.135,636.158,2
-501.572,141.392,-306.192,0
79.8669,329.814,741.508,2
865.047,890.561,-789.605,1
-693.533,115.94,600.513,2
790.277,-854.976,744.621,1
644.826,-223.426,97.5677,1
343.913,-98.1169,-437.239,1
898.923,964.293,456.099,1
189.612,-455.245,-736.076,0
-604.114,201.026,-25.2998,0
-289.346,-540.147,-43.1226,0
383.587,896.298,342.265,1
965.148,-524.949,27.131,1
-528.367,796.075,-31.2814,0
-347.087,74.984,141.575,2
-326.945,-303.69,-661.55,0
-419.66,-561.449,845.637,2
479.354,614.002,300.882,1
373.394,-459.822,533.738,1
-871.151,443.526,718.131,2
-316.874,-911.252,-31.4035,0
-958.434,676.382,237.037,2
81.1488,208.106,137.364,1
554.735,280.068,393.475,1
519.883,736.015,-684.011,1
-152.989,572.924,-957.152,0
-123.264,-915.708,12.6042,2
-461.47,-863.46,-510.3,0
964.11,12.9094,231.056,1
-857.967,-264.992,911.069,2
720.145,-325.053,-516.221,1
-420.942,-898.068,985.412,2
-655.08,-862.178,-559.74,0
-398.175,573.718,299.234,2
-832.636,-474.471,-727.042,0
-564.928,125.156,-643.483,0
264.565,-786.187,-92.5626,1
517.686,-332.377,-885.189,1
-434.98,388.592,746.513,2
135.167,736.992,-837.581,0
590.808,999.329,269.997,1
237.709,189.551,186.255,1
-611.499,957.762,-536.973,0
-915.403,-521.897,-489.73,0
-186.376,589.892,-455.061,0
800.104,-241.127,455.123,1
-587.023,-894.101,209.143,2
-292.032,-277.505,336.223,2
952.086,-552.721,791.559,1
-306.07,907.041,330.241,2
-596.667,-435.285,-289.102,0
63.9973,-418.012,-560.045,0
-800.775,-786.554,418.683,2
687.613,343.73,638.295,1
-988.464,-17.304,209.266,2
870.663,-418.744,211.646,1
493.82,747.673,824.458,1
660.207,211.829,-390.24,1
568.468,-699.759,85.2383,1
378.094,-210.73,986.389,2
-796.136,-176.794,-945.128,0
374.859,-482.223,-661.977,1
-542.711,-621.998,724.418,2
526.597,-904.782,-33.5398,1
-887.692,922.483,-830.012,0
130.955,925.108,147.801,1
757.317,-182.592,-193.701,1
-173.009,317.057,646.718,2
890.378,-433.76,-995.544,1
232.521,-901.12,312.113,1
-156.102,908.994,207.923,2
-598.254,-171.239,-318.888,0
246.254,616.81,-990.295,0
-789.483,-211.158,-446.272,0
-366.436,648.488,707.022,2
-376.934,-604.663,129.368,2
-61.861,990.234,-133.518,0
-263.039,-162.45,-230.262,0
160.863,755.486,-325.175,1
-213.233,902.097,18.2806,2
-162.816,216.59,553.514,2
-832.698,-697.623,-584.155,0
-825.312,-365.459,-56.3676,0
258.278,-334.452,-841.365,0
229.042,-714.347,-438.581,1
649.953,-121.86,988.83,1
-558.092,-785.333,37.9956,2
-470.809,-985.29,152.501,2
541.124,-784.967,938.414,1
-261.147,807.978,43.4279,2
-554.674,-394.757,-43.0616,0
-378.765,-171.178,529.466,2
683.218,-221.778,-145.054,1
448.348,469.833,-817.194,1
-836.543,506.15,693.96,2
275.613,-280.74,-49.9587,1
-811.213,-169.408,-623.28,0
-313.761,826.777,-541.368,0
-379.376,-691.458,-316.935,0
-635.426,-455.428,-588.122,0
-655.08,-329.447,-869.137,0
3.81488,927.366,618.519,2
-107.089,825.984,-641.469,0
-36.1644,-55.8183,398.48,2
-502.792,873.409,-445.112,0
-400.922,644.887,639.271,2
259.804,590.136,-985.595,0
-478.072,-420.942,905.942,2
718.925,34.8827,415.021,1
-487.655,842.097,-17.4871,0
-812.922,651.967,-846.614,0
-434.736,-232.276,286.538,2
30.1829,-136.937,-718.558,0
949.95,-850.764,-989.624,1
829.585,-176.672,510.666,1
-624.683,-796.564,-153.722,0
355.876,54.8418,648.427,1
674.368,-457.015,-1.00708,1
740.898,-702.017,941.588,1
76.7542,-558.641,-866.512,0
-590.747,-604.541,-614.185,0
-600.94,913.572,186.987,2
477.584,-411.237,359.661,1
572.253,842.647,856.868,1
688.65,-482.04,-789.117,1
-876.217,807.55,-703.36,0
785.516,-281.167,913.389,1
-236.854,-337.077,369.121,2
775.079,-239.784,-133.457,1
349.284,-465.804,-34.3333,1
55.6963,604.114,588.244,2
492.66,-26.6426,655.568,1
118.076,-442.427,-305.643,0
-891.72,822.504,525.803,2
-263.039,-435.224,-577.502,0
-350.871,-899.716,763.238,2
-502.365,-192.358,-710.257,0
750.542,216.224,567.309,1
-606.311,-96.5911,523.545,2
-133.335,272.927,609.119,2
-651.112,-354.656,926.389,2
418.806,-604.907,725.761,1
-905.393,486.435,-927.915,0
-738.334,-835.261,105.38,2
137.913,66.0116,-562.242,0
-845.637,-390.789,-871.09,0
-177.465,-732.597,-496.628,0
641.286,17.5482,-462.569,1
975.891,833.064,-756.523,1
-431.135,413.923,-58.1377,0
-410.504,-310.709,50.203,2
622.242,34.4554,-865.352,1
658.437,108.799,-792.718,1
19.1351,893.368,446.211,2
-52.1561,-97.3845,837.764,2
97.6898,-269.448,768.731,2
319.437,-754.936,14.8015,1
-775.14,-440.413,92.929,2
582.568,-261.635,716.239,1
488.693,-72.2983,-280.679,1
-115.818,171.85,-241.92,0
264.077,115.207,-34.8216,1
673.33,-628.59,-980.59,1
-781.487,-918.76,-556.444,0
-488.082,-179.418,415.204,2
-114.536,-733.879,88.1069,2
713.553,613.27,-563.463,1
847.652,-373.272,-713.553,1
213.721,-979.431,911.13,2
74.4957,-226.234,-975.219,0
-525.864,771.417,184.912,2
-694.815,-966.918,70.4063,2
833.43,305.46,-551.073,1
-188.879,931.639,-805.841,0
-200.842,12.238,-329.386,0
-343.181,250.832,-498.459,0
-420.087,67.0492,797.357,2
-43.855,-343.669,349.162,2
-79.3176,165.502,-174.474,0
844.6,-758.049,329.447,1
-702.628,-505.234,-776.849,0
-795.953,379.009,652.883,2
-18.5247,-92.5015,306.864,2
-162.999,279.824,-801.569,0
661.184,-262.734,755.913,1
40.0708,924.558,-210.608,0
451.399,261.208,-251.747,1
626.82,705.13,-872.127,1
487.167,-275.246,-528.794,1
637.928,567.431,-452.132,1
126.438,-650.563,-751.518,0
514.206,-172.399,-441.145,1
-658.071,88.4122,-517.502,0
-362.773,-549.852,316.08,2
396.832,340.495,286.66,1
-887.936,-340.983,904.477,2
-358.623,-384.747,-674.062,0
-262.917,-447.127,922.239,2
-527.573,-478.378,249.672,2
512.07,165.624,-457.991,1
424.299,-324.198,428.266,1
-956.847,401.105,261.391,2
-747.246,439.741,-238.197,0
47.8835,728.263,183.874,2
-9.67432,-938.414,343.547,2
106.967,-300.821,145.177,1
528.55,-954.711,-998.718,1
93.9055,496.14,-435.53,0
588.061,670.461,447.615,1
-407.086,77.3035,-188.818,0
-796.442,-221.229,-806.574,0
336.406,-676.321,381.878,1
341.533,477.035,776.483,2
513.169,139.012,-470.138,1
-777.093,-465.743,466.903,2
954.955,-24.2011,-570.177,1
602.405,225.807,-302.957,1
-34.7606,997.009,-252.663,0
895.993,-558.763,260.537,1
151.402,-708.914,859.798,2
-84.1395,284.646,-902.707,0
311.502,484.787,-800.043,0
301.492,-600.818,-531.297,1
464.278,989.074,508.225,1
786.615,95.3093,783.563,1
737.724,231.91,439.802,1
462.142,-696.158,512.436,1
-694.449,-190.527,228.98,2
433.577,659.963,772.088,1
-872.555,-210.486,207.251,2
-23.8349,-97.2625,523.606,2
157.567,-328.532,166.112,1
-279.336,499.497,-837.092,0
-808.71,994.141,-911.069,0
-206.641,-783.624,-170.08,0
-132.176,-460.555,-93.9664,0
-550.035,-477.34,283.486,2
786.187,757.927,-101.352,1
-176.611,-535.875,928.831,2
478.744,-316.568,446.089,1
206.763,242.897,788.446,2
364.971,-528.733,-782.403,0
63.3259,431.013,135.899,1
-969.787,21.8208,-83.1019,0
941.71,779.29,404.767,1
-508.347,-792.901,-466.659,0
-67.4153,213.538,-901.852,0
-227.638,-766.716,996.338,2
479.843,-918.332,-991.211,1
360.515,912.839,413.251,1
501.755,-717.826,356.548,1
225.501,325.968,952.025,2
-857.784,814.814,722.648,2
256.996,778.008,150.304,1
-695.608,797.235,147.801,2
-474.105,-649.037,250.588,2
668.63,340.556,717.277,1
-102.939,965.941,320.231,2
417.524,-883.541,631.947,1
493.82,948.302,670.705,1
-371.746,-764.702,-588.977,0
-416.425,895.566,684.988,2
-500.473,-568.163,732.353,2
-138.218,-588.549,857.479,2
506.638,-220.008,-250.526,1
115.94,261.452,882.138,2
472.518,472.091,-222.571,1
100.375,960.448,255.959,2
-344.646,-139.927,254.677,2
391.339,-19.7454,336.772,1
-463.301,-790.521,-869.625,0
-720.45,-92.0743,-639.454,0
293.008,713.553,-467.818,1
635.182,249.794,833.613,1
-795.465,-491.623,-5.70691,0
402.265,408.246,-780.816,1
-256.02,-36.4085,922.056,2
-802.301,-90.9756,-813.654,0
41.4747,-348.064,581.042,2
648.305,475.631,127.903,1
-896.542,-625.294,981.75,2
-145.604,286.844,442.854,2
801.508,685.904,830.683,1
-34.0281,-40.3759,455,2
515.427,-232.093,489.242,1
-452.01,-274.209,-937.559,0
644.521,515.793,-130.65,1
-551.439,-835.078,-468.551,0
251.381,534.532,-347.697,1
-490.585,-30.0607,503.769,2
123.875,-304.178,392.621,2
934.263,-196.631,-454.634,1
777.764,184.729,213.233,1
-305.277,602.832,659.536,2
629.994,-153.172,-837.458,1
264.809,965.087,377.361,1
-1.43433,-631.458,134.556,2
-523.24,723.991,-422.163,0
979.125,639.882,-194.983,1
-356.548,-202.673,315.165,2
861.751,807.734,-444.624,1
527.329,51.4237,904.538,1
834.04,284.89,-904.172,1
-472.884,-422.712,584.948,2
-483.871,-425.947,-296.182,0
828.791,636.952,-513.23,1
-355.693,-540.33,922.361,2
-509.018,867.184,635.975,2
-793.207,154.515,-545.274,0
-248.085,-617.176,574.206,2
793.451,-381.512,-891.659,1
504.074,438.582,116.978,1
95.8586,-262.795,-781.182,0
-862.239,546.251,-945.494,0
-359.722,-383.343,-710.074,0
51.851,-345.561,481.43,2
196.997,159.093,851.741,2
320.902,419.599,162.572,1
-856.441,-410.504,-970.763,0
544.359,994.873,159.093,1
-389.508,-49.7756,-730.094,0
31.2205,-625.538,99.1547,1
-245.521,21.8818,354.656,2
446.516,415.326,231.605,1
-753.288,913.938,461.287,2
-887.265,-544.115,-2.34985,0
-732.658,947.875,-86.642,0
569.262,224.464,549.425,1
225.196,678.762,-422.468,1
996.094,715.262,-324.381,1
-685.415,-784.6,925.84,2
957.701,168.798,-772.332,1
-863.033,-338.115,-203.528,0
-138.279,468.856,609.119,2
193.396,756.218,127.354,1
814.692,-588.183,-541.551,1
-641.774,-121.189,-359.233,0
-566.454,669.485,567.37,2
712.272,-203.894,-113.62,1
897.519,-904.599,576.83,1
-398.785,38.9722,-558.092,0
337.382,-420.637,-655.08,1
744.438,-55.33,685.598,1
823.542,170.568,-681.387,1
-107.944,364.055,635.67,2
964.11,930.906,28.9011,1
-824.03,-898.556,153.722,2
725.028,185.339,206.702,1
161.046,-434.004,577.258,2
-225.684,763.238,-760.918,0
935.911,-884.518,-163.915,1
-312.296,-282.876,-996.033,0
-365.886,-576.891,563.708,2
-18.4636,-877.743,778.008,2
-204.81,137.181,-109.531,0
413.129,137.12,170.202,1
212.439,-608.936,-249.55,1
552.049,811.64,128.575,1
624.195,597.766,896.481,1
540.33,-605.762,259.987,1
27.8634,686.636,650.258,2
458.358,381.268,237.465,1
-206.946,756.768,965.575,2
65.7675,-494.003,200.11,2
361.553,281.594,901.364,2
124.485,-457.381,20.3559,1
-594.714,751.946,-660.268,0
-701.956,444.197,383.038,2
113.62,244.301,992.92,2
999.878,196.387,27.8634,1
50.3861,-908.628,665.273,2
785.333,102.207,-486.007,1
-989.319,866.573,634.999,2
-800.348,-738.334,708.976,2
-236.793,524.644,-869.503,0
-346.904,-967.65,-849.788,0
-260.353,-987.487,-539.781,0
149.205,492.905,-290.628,1
-121.189,-770.501,653.981,2
-210.486,-360.271,868.587,2
194.311,128.758,745.415,2
169.53,-527.207,-356.792,1
-531.846,253.578,310.831,2
315.653,520.859,-0.762939,1
22.9805,-648.915,-160.253,0
-58.0156,968.749,774.041,2
-955.687,-853.45,-814.814,0
-221.229,-365.642,864.559,2
664.663,147.008,-11.6275,1
-210.608,839.473,43.9161,2
-774.773,721.915,-164.159,0
505.661,991.455,-542.344,1
-939.634,-69.3075,-763.237,0
-289.102,-319.498,887.936,2
-959.166,884.518,562.426,2
553.331,552.538,501.45,1
228.248,-911.924,-894.345,0
108.066,395.367,-729.362,0
-427.168,462.874,-339.824,0
-304.605,19.5624,822.932,2
889.279,849.91,722.648,1
140.416,879.452,383.526,2
-386.7,981.811,-149.754,0
880.612,209.388,-17.9143,1
-668.752,449.202,-902.097,0
-353.069,5.52393,-560.839,0
-969.115,-685.171,73.5802,2
-398.297,697.379,91.8912,2
-301.309,-997.559,-766.961,0
-428.449,97.1405,-998.413,0
531.358,-847.224,835.139,1
612.11,-582.507,-232.765,1
-104.221,550.035,748.161,2
830.256,77.3645,288.431,1
-500.29,225.807,286.966,2
427.656,907.407,140.538,1
-709.769,-305.338,716.849,2
556.566,481.796,883.725,1
612.842,-782.403,-763.665,1
-949.217,885.128,-119.358,0
-594.348,275.002,-604.602,0
-335.734,521.348,297.952,2
908.017,-692.068,268.227,1
-644.703,-154.332,-846.187,0
-210.974,512.07,534.104,2
663.32,384.015,-186.01,1
-3.0213,281.839,-832.942,0
-431.745,-635.365,-536.729,0
242.47,-934.629,958.068,2
-332.56,962.035,54.8418,2
-888.607,142.491,-171.544,0
-712.394,-204.26,-694.937,0
-395.428,-562.853,-895.199,0
-469.466,192.602,711.905,2
-331.889,165.99,845.21,2
471.908,-948.79,578.295,1
271.34,-838.557,-792.84,0
49.7758,199.072,-128.88,1
-958.8,334.391,957.579,2
-159.337,-848.628,-314.066,0
641.713,-783.807,807.184,1
172.094,420.759,-626.148,0
228.919,-914.487,-445.906,1
121.983,231.056,265.664,2
677.175,94.9431,290.201,1
142.674,918.149,-349.162,0
-897.641,316.874,-589.587,0
585.803,690.725,-514.084,1
761.651,-23.2856,126.011,1
531.724,-958.251,465.865,1
-76.0826,-419.721,-145.909,0
299.112,-820.307,846.919,2
-949.889,-569.201,504.135,2
78.4021,-348.308,-992.737,0
822.382,406.354,-457.32,1
542.039,-900.937,-577.929,1
-507.309,94.3328,-948.668,0
-712.21,75.1671,-234.84,0
-87.0693,694.327,-957.274,0
-178.93,-689.138,479.599,2
-277.993,-240.211,-680.959,0
-279.885,-9.73535,-369.854,0
-250.832,106.784,396.832,2
-82.1252,-257.179,-581.164,0
991.577,-689.688,-273.11,1
-91.8912,-577.441,653.188,2
794.488,405.316,-133.702,1
410.26,-425.52,-37.7513,1
